Epoch,Loss,Accuracy
1,2.6575918197631836,0.2802734375
2,1.9479646682739258,0.443359375
3,1.7396596670150757,0.4833984375
4,1.608008861541748,0.521484375
5,1.5073273181915283,0.53515625
6,1.4406689405441284,0.5478515625
7,1.3970277309417725,0.5634765625
8,1.338545560836792,0.5751953125
9,1.2989788055419922,0.5810546875
10,1.2404088973999023,0.61328125
11,1.2230626344680786,0.607421875
12,1.1699163913726807,0.6162109375
13,1.1485300064086914,0.6259765625
14,1.1183711290359497,0.6435546875
15,1.1030335426330566,0.638671875
16,1.0776795148849487,0.6591796875
17,1.0292448997497559,0.6767578125
18,1.011885643005371,0.6728515625
19,1.0133137702941895,0.6748046875
20,0.98431396484375,0.6806640625
21,0.9623419642448425,0.6875
22,0.9029170274734497,0.7138671875
23,0.8741689920425415,0.712890625
24,0.8560793399810791,0.7138671875
25,0.8380982875823975,0.7236328125
26,0.7959403991699219,0.7470703125
27,0.793179988861084,0.7353515625
28,0.7917599678039551,0.73046875
29,0.768060564994812,0.7412109375
30,0.7406324148178101,0.759765625
31,0.7284168004989624,0.779296875
32,0.6896369457244873,0.76171875
33,0.6896442770957947,0.7744140625
34,0.6593896746635437,0.7998046875
35,0.6713566184043884,0.7744140625
36,0.6379836797714233,0.7900390625
37,0.6122543811798096,0.80078125
38,0.6088574528694153,0.79296875
39,0.6013891100883484,0.8046875
40,0.5763723850250244,0.8076171875
41,0.5404344797134399,0.830078125
42,0.5701866745948792,0.8193359375
43,0.5485429763793945,0.810546875
44,0.5227932929992676,0.8291015625
45,0.5186672806739807,0.8330078125
46,0.5324777364730835,0.8193359375
47,0.5217117071151733,0.8251953125
48,0.4742398262023926,0.8427734375
49,0.503635048866272,0.822265625
50,0.43758636713027954,0.8544921875
51,0.4713106155395508,0.84765625
52,0.4172743260860443,0.8525390625
53,0.4519704580307007,0.85546875
54,0.4112187325954437,0.8623046875
55,0.40827834606170654,0.857421875
56,0.38734692335128784,0.8740234375
57,0.378219872713089,0.869140625
58,0.3962118625640869,0.8671875
59,0.35250401496887207,0.8896484375
60,0.3497998118400574,0.888671875
61,0.37761998176574707,0.865234375
62,0.341063916683197,0.8837890625
63,0.3720236122608185,0.88671875
64,0.34339767694473267,0.8837890625
65,0.3274296522140503,0.892578125
66,0.34194350242614746,0.884765625
67,0.315521776676178,0.896484375
68,0.31773728132247925,0.8916015625
69,0.29019057750701904,0.9033203125
70,0.3198036551475525,0.8876953125
71,0.3123131990432739,0.890625
72,0.27188995480537415,0.9130859375
73,0.2916358411312103,0.896484375
74,0.2926425039768219,0.90234375
75,0.30887094140052795,0.89453125
76,0.3174700438976288,0.892578125
77,0.28969353437423706,0.9072265625
78,0.3011862635612488,0.8896484375
79,0.2545223534107208,0.912109375
80,0.25142234563827515,0.9072265625
81,0.27161988615989685,0.9189453125
82,0.2898726463317871,0.9013671875
83,0.28928425908088684,0.8984375
84,0.2703128457069397,0.916015625
85,0.2533373236656189,0.9169921875
86,0.2610642910003662,0.9140625
87,0.25915461778640747,0.91015625
88,0.24306805431842804,0.916015625
89,0.27566325664520264,0.8984375
90,0.2603631615638733,0.91796875
91,0.218429297208786,0.9296875
92,0.2551124095916748,0.91015625
93,0.2224070131778717,0.9326171875
94,0.2355276644229889,0.916015625
95,0.22535181045532227,0.92578125
96,0.25232255458831787,0.921875
97,0.23072665929794312,0.9228515625
98,0.23100300133228302,0.9150390625
99,0.23082903027534485,0.921875
100,0.22739019989967346,0.9248046875
101,0.23776108026504517,0.919921875
102,0.21781235933303833,0.9208984375
